---
# FILENAME: New Recording 14.txt
---
# Transcript for New Recording 14.m4a
# Language: ru, prob=1.00

[   0.00 -    2.32] Сказывал, да, получается, такие вещи.
[   3.56 -    7.72] То есть вроде бы 4 дня мало, 5 дней, окей.
[   7.72 -   10.76] Но все время зарегулированные 5 дней.
[  11.76 -   12.92] Тоже не окей.
[  13.40 -   15.96] То есть надо отдавать какой-то...
[  16.76 -   17.92] Какие-то дырки.
[  18.76 -   20.44] Но как-то так мы с ней решили.
[  21.84 -   23.12] Это первое.
[  23.12 -   23.96] Второе.
[  25.16 -   26.56] Мы поднимаем цены.
[  27.28 -   28.28] И посмотрим.
[  29.24 -   30.96] Что из этого получится.
[  31.72 -   33.84] И мы решили поднять цену.
[  36.00 -   37.80] Включая поездку.
[  37.80 -   39.80] Туда будет входить поездка.
[  39.80 -   40.96] Колбавра Алто.
[  42.12 -   43.64] 1550.
[  48.00 -   48.84] Посмотрим.
[  48.84 -   51.64] Потому что сейчас, все, кто едет,
[  51.64 -   56.08] они уже, либо люди, как мы с тобой говорили, состоятельные.
[  56.08 -   57.84] Либо что-то еще, но еще посмотрим.
[  58.84 -   60.04] Нет так нет.
[  62.60 -   63.72] Третий момент.
[  63.72 -   68.72] У нас примерно сложилось, очень кратко, конечно, бесподробностей.
[  71.64 -   73.96] Как мы будем ходить.
[  77.64 -   80.00] Тема остается, как я тебе говорила, да?
[  80.84 -   81.84] Ардыко.
[  81.84 -   96.87] Конечно, написала мне.
[  96.87 -   98.87] Первый день 15 октября.
[  98.87 -   99.87] Правой берег.
[ 101.70 -  103.22] Дынье Легор.
[ 103.90 -  105.54] Оно в я поняла.
[ 106.38 -  107.38] Музей.
[ 107.42 -  108.42] Шнеглей.
[ 108.42 -  110.82] Это деко Ов.
[ 110.82 -  112.30] Политокио.
[ 112.30 -  115.98] Мезоно Абджи.
[ 115.98 -  118.58] И заканчиваем Алто.
[ 118.58 -  123.20] Вот как мне тебе это развернуть.
[ 123.20 -  124.20] Написать.
[ 125.20 -  127.72] Ну, смотри, Наташка мне вот это вот написала.
[ 127.72 -  129.88] Я понимаю, о чем идет речь.
[ 129.88 -  136.22] Дынье, это Дынье или Эгер, это отели.
[ 136.22 -  140.06] Дынье или Эгер, это очень знаменитые мастера.
[ 141.99 -  146.27] Дизайнеры и архитекторы, декораторы.
[ 146.27 -  152.56] Никак не развернуть.
[ 157.20 -  162.76] Я подготовлю текст, который...
[ 162.76 -  163.76] Общий, да?
[ 163.76 -  164.76] Нужно будет.
[ 165.76 -  167.16] Так как он будет общий.
[ 167.16 -  169.48] Но мне кажется, так будет проще технологически.
[ 169.48 -  172.32] Нет, смотри, мне кажется, что есть два варианта.
[ 172.32 -  173.48] Значит, первое.
[ 173.56 -  176.24] Сейчас я говорю, девушке разворачивать.
[ 176.24 -  180.04] Нормальные варианты, потом это как бы...
[ 180.04 -  182.04] Деву, деву, смотри.
[ 182.04 -  184.04] Есть с обратной стороны.
[ 184.04 -  187.20] Это просто вот этого мне уже достаточно.
[ 187.20 -  190.68] Чтобы, зная, ТОПЕТОЕ 10, этого посту и на меня.
[ 190.68 -  192.28] Примерно прикинуть.
